NSN;Price;common_name
4510-00-202-7775;9.63;Lavatory Drain
4510-00-203-2707;8.82;Soap Dispenser
4510-00-203-2709;27.53;Soap Dispenser
4510-00-224-8549;100.31;Paper Towel Dispenser
4510-00-247-1370;32.66;Toilet Seat
4510-00-253-0857;50.41;Double Faucet
4510-00-585-6305;43.96;Paper Towel Dispenser
4510-00-595-0922;49.57;Drain Trap
4510-00-595-1775;9.77;Toilet Paper Holder
4510-00-595-1785;12.11;Drum Faucet
4510-00-752-9065;104.69;Toilet Paper Holder
4510-00-756-1145;32.35;Drain Trap
4510-01-327-9405;14.84;Toilet Seat Cover Dispenser
4510-01-415-2960;33.38;Hand Cleaner Dispenser
4510-01-426-4187;49.31;Deodorant Dispenser
4510-01-441-2117;59.29;Soap Dispenser
4510-01-480-1323;648.37;Piddle Pak
4510-01-490-6456;62.38;Soap Dispenser
4510-01-521-9866;25.1;Soap Dispenser
4510-01-521-9867;237.64;Soap Dispenser
4510-01-521-9868;26.37;Soap Dispenser
4510-01-521-9869;105.53;Soap Dispenser
4510-01-521-9870;113.59;Soap Dispenser
4510-01-521-9871;26.37;Soap Dispenser
4510-01-521-9872;24.08;Soap Dispenser
4510-01-521-9873;157.27;Soap Dispenser
4510-01-551-1194;24.5;Foam Soap Dispenser
4510-01-551-2864;108.79;Foam Soap Dispenser
4510-01-551-2865;24.85;Foam Soap Dispenser
4510-01-551-2866;112.59;Hand Foam Dispenser
4510-01-551-2867;24.16;Hand Foam Dispenser
4520-00-033-4286;955.65;Electric Water Heater
4520-00-865-5939;56.38;Space Heater
4720-01-447-8757;51.92;Garden Hose
4720-01-447-8759;28.78;Garden Hose
4730-01-385-7313;2.28;Spray Nozzle
4940-01-490-2455;153.26;Drip Pan
4940-01-490-2463;297.36;Drip Pan
4940-01-490-2470;390.44;Drip Pan
4940-01-504-5270;221.49;Drip Pan With Chain
4940-01-504-5273;391.79;Drip Pan With Chain
4940-01-505-0680;475.65;Drip Pan With Chain
4940-01-535-7651;543.54;Drip Pan with Chock Block
4940-01-535-7652;744.53;Drip Pan with Chock Block
4940-01-535-7653;607.15;Drip Pan with Chock Block
4940-01-535-7654;784.55;Drip Pan, Aircraft
5110-00-028-9089;9.86;Soldering Iron & Knife
5110-00-063-3037;14.25;Wire Stripper (Manually Operated)
5110-00-082-9172;25.14;Tube Cutter (Replacement Wheel)
5110-00-126-0804;200.92;Wire Stripper (Manually Operated)
5110-00-142-5010;6.55;Keyhole Saw
5110-00-142-5015;6.62;Rip Saw
5110-00-156-0037;5.42;File (Swiss Pattern)
5110-00-156-0054;5.51;File (American Pattern - Regular)
5110-00-156-0059;24.39;File (American Pattern - Regular)
5110-00-156-0062;5.42;File (Swiss Pattern)
5110-00-156-0063;4.96;File (Swiss Pattern)
5110-00-156-0065;4.96;File (Swiss Pattern)
5110-00-161-6909;10.32;Straight Trimmer's Shears
5110-00-161-6912;17.13;Paper or Stationer's Shears
5110-00-162-2205;20.13;Pocket Knife (General Purpose)
5110-00-162-2207;26.34;Straight Trimmer's Shears
5110-00-162-5629;9.63;Razor Blade
5110-00-177-7286;215.32;Wire Stripper (Manually Operated)
5110-00-180-0926;31.26;Leather Punch
5110-00-180-0927;35.26;Leather Punch
5110-00-180-0943;18.98;Leather Punch
5110-00-186-4214;13.8;Hand Reamers
5110-00-186-7107;4.07;Chisels (Cold)
5110-00-188-2524;198.58;Bolt Cutter (Clipper Cut)
5110-00-197-9499;8.68;Chisels (Cape)
5110-00-199-7292;206.3;Hand Reamers
5110-00-203-4935;5.46;File (American Pattern - Flat)
5110-00-203-4936;15.48;File (American Pattern - Flat)
5110-00-203-4948;8.24;File (American Pattern - Knife)
5110-00-203-8310;12.77;Crosscut Saw
5110-00-203-9774;6.52;File (American Pattern - Square)
5110-00-204-2685;62.7;File Set (Swiss Pattern)
5110-00-221-1049;547.76;Pipe Cutter (Wheel Type)
5110-00-221-1075;28.43;Chisels (Blacksmith's Cold)
5110-00-221-1083;61.88;Tinner Snips
5110-00-221-1085;15.97;Tinner Snips
5110-00-221-1087;24.95;Tinner Snips
5110-00-221-1538;5.52;Putty Knife
5110-00-221-8132;5.77;Chisels (Cold)
5110-00-222-2117;6.08;Chisels (Half Round)
5110-00-222-2128;8.63;Chisels (Cape)
5110-00-222-2708;14.27;Diagonal Cutting Pliers
5110-00-222-4400;8.18;Glass Cutter
5110-00-222-4401;10.24;Glass Cutter
5110-00-223-5379;22.71;Lathing Hatchet
5110-00-223-6281;85.43;Steel Strapping Cutter (Heavy-Duty)
5110-00-223-6370;24.8;Bent Trimmer's Shears (Drop Forged Steel)
5110-00-223-6371;59.11;Straight Trimmer's Shears
5110-00-223-7782;5.68;Leather Knife (Square Point)
5110-00-223-8827;6.31;Putty Knife
5110-00-224-1532;15.64;Diagonal Cutting Pliers (Stripping Notches)
5110-00-224-7053;47.42;Bolt Cutter (Notch Shear Cut)
5110-00-224-7055;85.33;Bolt Cutter (Angle Cut)
5110-00-224-7056;172.06;Bolt Cutter (Angle Cut)
5110-00-224-7057;90.33;Bolt Cutter (Angle Cut)
5110-00-224-7058;1070.43;Cable Cutter (Hydraulic Action)
5110-00-224-7911;67.68;Wood Plane (Jack)
5110-00-233-9110;10.77;Chisel (Bricklayers)
5110-00-233-9722;12.04;Rasp
5110-00-234-1927;3.59;Chisels (Cold)
5110-00-234-1944;8.08;Chisels (Cold)
5110-00-234-6522;2.92;File (American Pattern - Taper)
5110-00-234-6528;3.43;File (American Pattern - Taper)
5110-00-234-6531;3.72;File (American Pattern - Flat)
5110-00-234-6534;4.54;File (American Pattern - Flat)
5110-00-234-6537;6.41;File (American Pattern - Flat)
5110-00-234-6539;6.98;File (American Pattern - Flat)
5110-00-234-6548;3.3;File (American Pattern - Regular Round)
5110-00-234-6549;3.37;File (American Pattern - Regular Round)
5110-00-234-6550;3.5;File (American Pattern - Regular Round)
5110-00-234-6553;4.57;File (American Pattern - Regular Round)
5110-00-234-6554;4.43;File (American Pattern - Regular Round)
5110-00-234-6555;4.9;File (American Pattern - Regular Round)
5110-00-234-6557;7.14;File (American Pattern - Regular Round)
5110-00-236-3272;4.77;Chisels (Cold)
5110-00-238-7696;160.92;Cable Preparation Tools (Stripper)
5110-00-239-3269;5.42;File (Swiss Pattern)
5110-00-239-3281;4.82;File (Swiss Pattern)
5110-00-239-7590;4.71;File (Swiss Pattern)
5110-00-239-7602;4.96;File (Swiss Pattern)
5110-00-239-7614;5.84;File (Swiss Pattern)
5110-00-239-7716;16.82;File (Swiss Pattern)
5110-00-239-8253;16.35;Diagonal Cutting Pliers
5110-00-240-5943;32.64;Pocket Knife (Electrician's Style)
5110-00-240-6031;26.62;Chisels (Cape)
5110-00-240-7070;6.08;Linoleum Knife (Rigid Blade)
5110-00-240-7073;9.47;Craftsman's Knife
5110-00-240-7666;44.45;Bearing Scraper w/Handle
5110-00-241-9132;2.72;File (American Pattern - Mill)
5110-00-241-9135;4.48;File (American Pattern - Mill)
5110-00-241-9138;6.51;File (American Pattern - Mill)
5110-00-241-9147;5.59;File (American Pattern - Half Round)
5110-00-241-9148;5.27;File (American Pattern - Half Round)
5110-00-241-9150;7.37;File (American Pattern - Half Round)
5110-00-241-9151;7.21;File (American Pattern - Half Round)
5110-00-241-9160;5.62;File (American Pattern - 3 Square)
5110-00-242-0127;5.1;File (Swiss Pattern)
5110-00-242-0146;5.74;File (Swiss Pattern)
5110-00-242-3457;3.5;Chisels (Cold)
5110-00-242-5387;8.61;File (American Pattern - Mill)
5110-00-242-7147;285.27;Crosscut Saw (One-Man)
5110-00-243-0938;4.87;File (American Pattern - 3 Square)
5110-00-243-1645;58.16;Punch & Die (Knockout)
5110-00-243-2003;24.91;Hand Reamer (Taper Pin)
5110-00-243-7965;4.05;File (American Pattern - Mill)
5110-00-245-3016;26.42;File (American Pattern - Milled Curved)
5110-00-245-4165;5.91;File (Swiss Pattern)
5110-00-245-4177;4.96;File (Swiss Pattern)
5110-00-246-0975;12.66;Wire Stripper (Manually Operated)
5110-00-249-2848;4.51;File (American Pattern - Flat)
5110-00-249-2850;7.29;File (American Pattern - Flat)
5110-00-251-9000;11.71;File (American Pattern - Auger Bit)
5110-00-252-4015;15.19;File (American Pattern - Half Round)
5110-00-253-3152;34.27;Hand Reamer (Taper Pin)
5110-00-253-3154;32.68;Hand Reamer (Taper Pin)
5110-00-253-3156;32.64;Hand Reamer (Taper Pin)
5110-00-253-3158;31.24;Hand Reamer (Taper Pin)
5110-00-253-3160;32.61;Hand Reamer (Taper Pin)
5110-00-255-0420;20.74;Electrician's Scissors (Drop Forged Steel)
5110-00-255-6541;50.34;Hand Reamers
5110-00-255-6557;74.16;Hand Reamers
5110-00-255-6579;40.2;Hand Reamers
5110-00-255-6600;33.74;Hand Reamers
5110-00-260-1645;56.92;Hand Reamers
5110-00-260-1647;67.91;Hand Reamers
5110-00-260-1664;33.25;Hand Reamers
5110-00-260-1665;28.77;Hand Reamers
5110-00-260-1721;82.35;Hand Reamers
5110-00-268-4224;16.72;Wire Stripper (Manually Operated)
5110-00-272-2699;26.51;Single Bit Ax
5110-00-273-0126;18.63;Aviation Snips
5110-00-273-0128;17.04;Aviation Snips
5110-00-277-4588;12.39;Hacksaw Blade
5110-00-277-4589;0.88;Hacksaw Blade
5110-00-277-4590;0.95;Hacksaw Blade
5110-00-277-4591;22.55;Hacksaw Blade
5110-00-288-6520;13.28;Tube Cutter (with Deburring Tool)
5110-00-288-6573;12.68;Handle (Single-Bit Ax)
5110-00-288-8737;33.28;Punch & Die (Knockout)
5110-00-289-0002;13.41;Metal Stamping Die Set
5110-00-289-0004;37.41;Metal Stamping Die Set
5110-00-289-0006;27.3;Metal Stamping Die Set
5110-00-289-8659;17.29;Tinner Snips
5110-00-289-9657;6.92;Hacksaw Frame
5110-00-293-0089;18.07;Tinner Snips
5110-00-293-0090;11.65;Nested Saw Set
5110-00-293-0108;67.95;Punch & Die (Knockout)
5110-00-293-0417;31.59;Leather Punch
5110-00-293-0420;27.06;Leather Punch
5110-00-293-0460;180.97;Pipe Cutter (Wheel Type)
5110-00-293-0556;12.99;Rivet Buster Chisel
5110-00-293-1585;2.55;Craftsman's Knife (Set)
5110-00-293-1905;68.51;Metal Stamping Die Set
5110-00-293-1958;53.69;Ratchet Bit Brace
5110-00-293-2336;45.99;Single Bit Ax
5110-00-293-2339;24.95;Single Bit Ax
5110-00-293-2865;0.63;Craftsman's Knife Blade (Razor Blade Type)
5110-00-293-3209;23.97;Diagonal Cutting Pliers
5110-00-293-3210;18.5;Diagonal Cutting Pliers
5110-00-293-3411;74.87;Hand Drill
5110-00-293-3435;8.45;Crosscut Saw
5110-00-293-3444;10.33;Straight Trimmer's Shears
5110-00-293-9199;12.91;Straight Trimmer's Shears
5110-00-344-9900;7.3;Linoleum Knife (Rigid Blade)
5110-00-357-5593;34.32;Chisel Set (Metalworking)
5110-00-359-6478;1.44;Craftsman's Knife (Replacement Blade)
5110-00-440-7996;7.18;Blade Reamer
5110-00-449-6907;55.42;Wood Chisel Set
5110-00-472-2343;62.61;Wire Strippers/Cutters
5110-00-501-6014;8.71;Keyhole Saw (Twist-N-Lock)
5110-00-510-4505;184.12;Die Sinker's Riffler Set
5110-00-541-6730;151.77;Cable Cutter (Groping Hook Guide)
5110-00-541-7697;18.97;Leather Punch
5110-00-554-7345;4.55;Chisels (Cape)
5110-00-555-4985;2.18;Craftsman's Knife
5110-00-555-8497;257.43;Punch & Die Set (Knockout)
5110-00-555-8868;111.29;Broad Hatchet
5110-00-555-9500;14.95;Metal Shears (Drop Forged Steel)(Dental)
5110-00-585-8427;10.36;Wood Chisel (Butt)
5110-00-585-8428;9.84;Wood Chisel (Butt)
5110-00-585-8430;11.25;Wood Chisel (Butt)
5110-00-585-8431;14.35;Wood Chisel (Butt)
5110-00-585-8432;16.45;Wood Chisel (Butt)
5110-00-585-8433;9.77;Wood Chisel (Butt)
5110-00-595-8229;77.89;Insulated Wire Cutter
5110-00-595-8267;2191.9;Cable Cutter (Hydraulic Action)
5110-00-595-8295;2.69;File (Swiss Pattern)
5110-00-595-8316;62.49;File Set (Swiss Pattern)
5110-00-595-8325;6.26;Handle (File)
5110-00-595-8400;3.9;Craftsman's Knife
5110-00-595-9490;139.51;Diagonal Cutting Pliers
5110-00-596-7164;18.25;Diagonal Cutting Pliers (High Leverage)
5110-00-596-9155;133.47;Bolt Cutter (Clipper Cut)
5110-00-596-9156;38.22;Bolt Cutter (Clipper Cut)
5110-00-596-9162;94.43;Bolt Cutter (Clipper Cut)
5110-00-596-9703;35.34;Bent Trimmer's Shears (Drop Forged Steel)
5110-00-618-2700;14.19;Diagonal Cutting Pliers
5110-00-640-5419;10.21;Wood Chisel (Firmer)
5110-00-640-5423;12.23;Wood Chisel (Firmer)
5110-00-719-6061;45.9;Nibbling Tool
5110-00-754-1499;20.68;Sewing Scissors (Drop Forged Steel)
5110-00-764-4801;18.16;Electronic Cutters
5110-00-771-3732;70.05;Steel Strapping Cutter (Safety Style)
5110-00-803-6339;25.79;Nut Splitter
5110-00-806-1000;3.37;File (American Pattern - Regular Round)
5110-00-813-1286;20.8;Machete
5110-00-837-0990;11.57;Pipe Cutter (Replacement Wheel)
5110-00-860-3377;40.27;Handsaw Filing Guide
5110-00-878-6519;17.78;Electronic Cutters
5110-00-892-5071;3.12;Utility Knife (Retractable)
5110-00-935-0890;15.31;Diagonal Cutting Pliers
5110-00-941-2707;14.87;Rasp Holder & Blade
5110-00-965-0878;8.18;Tube Cutter (Sliding Feed)
5110-00-997-4237;1.8;Razor Blade Glass Scraper
5110-01-019-1772;10.56;Wire Strippers/Cutters
5110-01-037-1408;20.26;Wire Strippers/Cutters
5110-01-040-9836;20.17;Wire Strippers/Cutters
5110-01-068-5253;22.09;Cable Cutter - Armored
5110-01-090-5870;36.73;Wire Stripper (Manually Operated)
5110-01-181-7030;11.17;Electronic Cutters
5110-01-225-6691;2.01;Craftsman's Knife
5110-01-241-4371;4.87;Bent Trimmer's Shears
5110-01-241-4373;5.39;Straight Trimmer's Shears
5110-01-241-4375;4.64;Sewing Scissors (Stamped Stainless Steel)
5110-01-241-4376;3.94;Pocket Scissors (Stamped Stainless Steel)
5110-01-278-4823;5.86;Straight Trimmer's Shears
5110-01-304-0782;22.63;Hacksaw Frame
5110-01-321-8805;65.08;Multi-Tool
5110-01-335-1366;22.63;Hacksaw Frame
5110-01-335-1417;3.04;Chisels (Cold)
5110-01-335-1418;3.33;Chisels (Cold)
5110-01-335-1517;17.23;Wire Stripper (Manually Operated)
5110-01-335-1575;2.98;File (American Pattern - Regular Round)
5110-01-335-1588;8.44;File (American Pattern - Half Round)
5110-01-335-1600;54.03;File Set (Swiss Pattern)
5110-01-336-5693;4.44;File (American Pattern - Regular Round)
5110-01-336-5724;17.65;End Cutting Pliers (Nippers)
5110-01-336-5727;6.93;Electrician's Scissors
5110-01-346-5339;48.21;Multi-Tool
5110-01-346-5340;59.32;Multi-Tool
5110-01-346-5341;52.6;Multi-Tool
5110-01-348-9536;10.28;Thread Restorer File
5110-01-349-4818;14.9;Diagonal Cutting Pliers
5110-01-349-4830;6.93;Handle (File)
5110-01-355-8504;4.85;Hacksaw Frame
5110-01-355-8506;33.05;Hacksaw
5110-01-365-8493;3.77;File (American Pattern - Half Round)
5110-01-367-3831;17.89;Wire Strippers/Cutters
5110-01-367-3878;16.68;Diagonal Cutting Pliers (High Leverage)
5110-01-367-4647;16.1;Diagonal Cutting Pliers
5110-01-367-4648;14.9;Diagonal Cutting Pliers
5110-01-367-4650;14.9;Diagonal Cutting Pliers
5110-01-367-7240;26.96;Multi-Purpose Electrician's Tool
5110-01-367-7278;24.13;Cable Cutter (High-Leverage)
5110-01-369-9340;41.84;Pocket Knife (Folding)
5110-01-377-2180;213.78;Wire Stripper (Manually Operated)
5110-01-378-4608;73.68;Bolt Cutter (Replacement Jaws)
5110-01-380-5095;119.94;Bolt Cutter (Replacement Jaws)
5110-01-380-9346;132.58;Wire Stripper (Replacement Blades)
5110-01-381-0790;140.53;Bolt Cutter (Replacement Jaws)
5110-01-381-0808;75.69;Bolt Cutter (Replacement Jaws)
5110-01-385-7354;60.55;Multi-Tool Kit
5110-01-394-6249;73.57;Multi-Tool
5110-01-394-6252;60.81;Multi-Tool
5110-01-395-0291;32.88;Pocket Knife (Folding)
5110-01-395-5706;18.45;Diagonal Cutting Pliers
5110-01-399-9317;35.81;Pocket Knife (Folding)
5110-01-399-9324;20.39;Pocket Knife (Folding)
5110-01-400-1164;14.53;Putty Knife (Screwdriver Type)
5110-01-400-1418;21.6;Tinner Snips
5110-01-400-1438;28.78;Diagonal Cutting Pliers
5110-01-400-1447;16.97;Diagonal Cutting Pliers
5110-01-400-1453;16.67;Diagonal Cutting Pliers
5110-01-412-8019;5.3;Utility Knife (Retractable)
5110-01-414-4916;27.63;Pocket Knife (Folding)
5110-01-414-4917;24.55;Pocket Knife (Folding)
5110-01-414-4918;27.95;Pocket Knife (Folding)
5110-01-414-4920;17.52;Pocket Knife (Folding)
5110-01-416-7827;45.35;Combination Tool (Single Bit Ax)
5110-01-416-7830;13.56;Combination Tool (Ax Head Sheath)
5110-01-425-7570;71.88;Multi-Tool
5110-01-428-5207;5.48;Utility Knife (Retractable)
5110-01-428-5225;5.21;Utility Knife (Retractable)
5110-01-428-5231;5.74;Utility Knife (Retractable)
5110-01-428-5236;5.85;Utility Knife (Retractable)
5110-01-428-5252;20.61;Crosscut Saw
5110-01-428-5268;1.03;Utility Knife (Replacement Blades)
5110-01-428-5269;1.02;Utility Knife (Replacement Blades)
5110-01-428-5396;14.23;Hacksaw
5110-01-428-5397;14.23;Hacksaw
5110-01-428-5401;12.17;Hacksaw Blade
5110-01-428-5416;22.02;Hacksaw
5110-01-428-5547;3.82;Utility Knife (Retractable)
5110-01-429-1107;7.18;Putty Knife (Screwdriver Type)
5110-01-429-7306;21.3;Diagonal Cutting Pliers
5110-01-429-7391;10.81;Aviation Snips
5110-01-430-1526;2.72;File (American Pattern - Mill)
5110-01-430-5039;72.63;Multi-Tool
5110-01-430-5046;71.88;Multi-Tool
5110-01-430-5056;51.78;Multi-Tool
5110-01-430-5211;9.5;Chisels (Concave Splitting)
5110-01-430-5934;113.2;Hacksaw Blade
5110-01-430-8410;7.1;Chisels (Cold)
5110-01-434-9365;11.52;Diagonal Cutting Pliers
5110-01-434-9884;4.77;Chisels (Cold)
5110-01-434-9994;4.57;File (American Pattern - Regular Round)
5110-01-437-2038;24.39;Wire Strippers/Cutters
5110-01-437-3097;7.64;Brush (File Cleaning)
5110-01-451-0707;24.62;Pocket Knife (Folding)
5110-01-451-4943;100.29;Pocket Knife (Folding)
5110-01-451-4945;57.13;Multi-Tool
5110-01-452-2215;25.07;Pocket Knife (Folding)
5110-01-456-0578;79.17;Multi-Tool
5110-01-462-3400;103.93;Multi-Tool
5110-01-462-3402;74.04;Multi-Tool Kit
5110-01-473-9291;64.82;Bolt Cutter
5110-01-473-9295;339.3;Cable Cutter
5110-01-473-9433;6.93;Handle (File)
5110-01-473-9905;18.79;Utility Knife (Replacement Blades)
5110-01-474-0894;72.6;Multi-Tool
5110-01-474-4899;68.47;Multi-Tool
5110-01-474-4901;13.05;Axe Sheath (Leather)
5110-01-474-5393;43.13;Machete
5110-01-475-2144;124.56;Multi-Tool
5110-01-488-6190;45.33;Double Bit Ax
5110-01-501-0069;1.49;Hacksaw Blade
5110-01-502-3255;40.45;Thread Restoring File Set
5110-01-507-0228;59.03;Multi-Tool
5110-01-514-7772;20.42;Knife Sharpener
5110-01-516-3228;106;Pocket Knife (Folding)
5110-01-516-3243;189.78;Pocket Knife (Folding)
5110-01-516-3244;149.39;Pocket Knife (Folding)
5110-01-518-2391;38.45;Diagonal Cutting Pliers
5110-01-525-6655;134.63;Multi-Tool
5110-01-525-6660;54.91;Multi-Tool
5110-01-525-6661;56.24;Multi-Tool
5110-01-525-6664;107.47;Multi-Tool
5110-01-525-6665;54.67;Multi-Tool
5110-01-525-6666;62.22;Multi-Tool
5110-01-540-0152;61.55;Multi-Tool
5110-01-540-0186;75.01;Multi-Tool
5110-01-540-9530;74.64;Multi-Tool
5110-01-541-1202;153.77;Multi-Tool
5110-01-541-1454;114.8;Multi-Tool
5110-01-541-1455;99.26;Multi-Tool
5110-01-542-3028;3.14;File (American Pattern - 3 Square)
5110-01-554-6909;1.92;Utility Knife (Replacement Blades)
5110-01-563-4373;16.16;Wire Strippers/Cutters
5110-01-576-8918;110.85;Concertina Wire Cutter
5110-01-578-4889;33.15;Strap Cutter
5110-01-578-4890;22.33;Safety Knife
5110-01-583-9252;94.82;Pocket Knife (Folding)
5110-01-585-7934;160.55;Multi-Tool
5110-01-585-7935;158.28;Multi-Tool
5110-01-585-7936;146.44;Multi-Tool
5110-01-585-7937;159.78;Multi-Tool
5110-01-592-2581;94.88;Multi-Tool
5110-01-594-3747;127.68;Multi-Tool
5110-01-598-2248;339.92;Multi-Tool
5110-01-598-2253;343.97;Multi-Tool
5110-01-598-2254;401;Multi-Tool
5110-01-598-6425;41.32;Single-Bit Ax
5110-01-598-6426;50.99;Double Bit Ax
5110-01-598-7727;31.13;Pocket Knife (Folding)
5110-01-599-5184;4.38;File (American Pattern - Regular Round)
5110-01-600-3371;7.09;Hacksaw Frame (Screwdriver)
5110-01-600-9339;2.08;Craftsman's Knife
5110-01-601-5159;6.7;File (American Pattern - 3 Square)
5110-01-603-8987;82.49;Multi-Tool
5110-01-604-2057;104.09;Multi-Tool
5110-01-607-9976;184.94;Multi-Tool
5110-01-611-7561;33.88;Floor Scraper
5110-01-611-9911;82.63;Multi-Tool
5110-01-617-7463;67.42;File Set
5110-01-617-8025;6.73;Hand File
5110-01-621-4767;2.61;Utility Knife (Replacement Blades)
5110-01-621-5252;4.13;Utility Knife (Retractable)
5110-01-621-5253;1.78;Utility Knife (Retractable)
5110-01-621-5254;5.51;Utility Knife (Replacement Blades)
5110-01-621-5255;1.64;Utility Knife (Retractable)
5110-01-621-5256;3.58;Utility Knife (Retractable)
5110-01-621-5257;1.64;Utility Knife (Replacement Blades)
5110-01-621-5259;7.03;Utility Knife (Retractable)
5110-01-621-7915;9.27;Utility Knife (Retractable)
5110-01-621-8439;3.71;Utility Knife (Replacement Blades)
5110-01-629-6574;7.41;Bent Trimmer's Shears
5110-01-629-6575;7.41;Straight Trimmer's Shears
5110-01-629-6578;13.72;Straight Trimmer's Shears
5110-01-629-6579;12.58;Bent Trimmer's Shears
5110-01-629-6580;8.37;Straight Trimmer's Shears
5110-01-641-4777;119.34;Multi-Tool
5110-01-644-5807;7.29;File (American Pattern - Flat)
5110-01-648-4540;6.46;File (American Pattern - Regular Round)
5110-01-654-1873;16.67;Diagonal Cutting Pliers
5110-01-656-8991;5.42;File (Swiss Pattern)
5110-01-656-8992;5.42;File (Swiss Pattern)
5110-01-656-8996;5.42;File (Swiss Pattern)
5110-01-657-3674;6.63;Handle (File)
5110-01-657-3675;5.1;File (Swiss Pattern)
5110-01-657-4266;5.1;File (Swiss Pattern)
5110-01-657-4634;5.42;File (Swiss Pattern)
5110-01-661-6695;42.39;Tuber Cutter
5120-00-001-3733;169.32;Torque Wrench
5120-00-005-1024;749.05;Fastener Removal Tool Adapter
5120-00-009-3743;18.78;Trowel (Margin)
5120-00-009-5044;101.38;Rescue Tool Bar
5120-00-010-7914;9.13;Flat Tip Screwdriver
5120-00-016-6382;147.45;Crimping Tool (Turret Head Assembly)
5120-00-017-3827;76.62;Crimping Tool (Positioner)
5120-00-017-3921;70.28;Crimping Tool (Positioner)
5120-00-017-3927;76.62;Crimping Tool (Positioner)
